Brand Name,Category Name,Channel Type Name,Channel Name,Campaign Name,Start Date,End Date,Total Cost
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-01-17,2023-01-18,8387.05
Brand A,Eye,Amazon,AMS,Amazon Campaign Standard,2023-07-01,2023-07-01,366.66
Brand A,Eye,Amazon,AMZ,Sleek Granite Bike,2023-09-01,2023-09-02,121.2
Brand A,Eye,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-06-11,2023-06-15,16757.55
Brand A,Eye,Amazon,AMS,API_test,2023-09-01,2023-09-02,12.33
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,Amazon Campaign Standard,2023-07-02,2023-07-05,366.66
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-07-03,2023-07-10,18460.16
Brand A,Eye,Amazon,AMS,Amazon Campaign Festival,2023-07-27,2023-07-28,296.04
Brand C,Eye,Amazon,AMZ,File_API_post,2023-10-03,2023-10-11,129
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-01-11,2023-01-15,8850.87
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMZ,test,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,java_back,2023-11-10,2023-11-12,11.2
Brand A,Face,Amazon,AMS,test,2023-09-25,2023-09-26,12.9
Brand A,Face,Amazon,AMS,Amazon Campaign Standard,2023-07-03,2023-07-05,325.92
Brand A,Face,Digital Display,Partner Site / E Retail,Digital Display Campaign Festival,2023-04-03,2023-04-05,10814.46
Brand B,Face,Amazon,AMZ,A,2023-08-14,2023-08-14,2
Brand A,Face,Amazon,AMS,Amazon Campaign Festival,2023-05-08,2023-05-11,700.72
Brand A,Face,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-03-17,2023-03-18,21281.83
Brand D,Face,Digital Display,Partner Site / E Retail,Amazon sale,2023-09-20,2023-09-28,7838
Brand A,Face,Amazon,AMS,Amazon Campaign Standard,2023-02-07,2023-02-09,304.19
Brand A,Face,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-04-07,2023-04-09,24090.46
Brand A,Face,Amazon,AMS,Amazon Campaign Big Savings,2023-01-03,2023-01-05,700.72
Brand A,Face,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-06-03,2023-06-05,30567.93
Brand B,Face,Amazon,AMZ,A,2023-08-14,2023-08-14,23
Brand A,Face,Amazon,AMS,Amazon Campaign Big Savings,2023-04-03,2023-04-05,700.72
Brand A,Face,Amazon,AMS,front_endd,2023-09-25,2023-09-26,12
Brand E,Face,Amazon,AMZ,testing1,2023-10-03,2023-10-13,2000
Brand A,Face,Amazon,AMS,Amazon Campaign Standard,2023-03-03,2023-03-05,325.92
Brand B,Face,Amazon,AMZ,A1,2023-08-14,2023-08-14,2
Brand A,Face,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-03-11,2023-03-15,19577.34
Brand D,Face,Amazon,AMZ,rey mysterio,2023-09-25,2023-09-27,578465
Brand A,Face,Amazon,AMS,Amazson Campaign Big Savings,2023-06-07,2023-06-09,304.19
Brand A,Face,Amazon,AMS,Amazon Campaign Big Savings,2023-08-03,2023-08-05,700.72
Brand A,Hair,Digital Display,Partner Site / E Retail,Digital Display Campaign Festival,2023-01-03,2023-01-05,26780.15
Brand A,Hair,Amazon,AMS,Amazon Campaign Standard,2023-03-07,2023-03-09,342.21
Brand A,Hair,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-01-07,2023-01-09,29373.15
Brand A,Hair,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-07-07,2023-07-09,21703.26
Brand A,Hair,Amazon,AMS,Amazon Campaign Festival,2023-07-07,2023-07-09,342.21
Brand A,Hair,Amazon,AMS,Amazon Campaign Festival,2023-05-08,2023-05-09,942.44
Brand A,Hair,Amazon,AMS,Amazon Campaign Festival,2023-06-17,2023-06-18,369.37
Brand A,Hair,Amazon,AMS,Amazon Campaign Big Savings,2023-02-17,2023-02-18,369.37
Brand A,Hair,Digital Display,Partner Site / E Retail,Digital Display s Campaign standard,2023-07-03,2023-07-05,28571.67
Brand A,Hair,Amazon,AMS,Amazon Campaign Standard,2023-04-07,2023-04-09,942.44
Brand A,Hair,Digital Display,Partner Site / E Retail,Digital Display Campaigns standard,2023-07-01,2023-07-01,30277.67
Brand A,Lip,Amazon,AMS,Amazon Campaign Standard,2023-05-01,2023-05-28,632.82
Brand A,Lip,Digital Display,Partner Site / E Retail,New Camp,2023-09-11,2023-09-14,92665
Brand A,Lip,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-02-25,2023-02-28,12088.25
Brand A,Lip,Amazon,AMS,Amazon Campaign Big Savings,2023-06-20,2023-06-23,320.48
Brand B,Lip,Digital Display,Owned Site,Testing campaign,2023-10-10,2023-10-17,5
Brand B,Lip,Digital Display,Partner Site / E Retail,Standard campaign,2023-02-01,2023-06-21,8989
Brand A,Lip,Amazon,AMS,Amazon Campaign Festival,2023-04-11,2023-04-15,632.82
Brand A,Lip,Amazon,AMS,Amazon Campaign Big Savings,2023-07-11,2023-07-15,334.06
Brand A,Lip,Amazon,AMS,Amazon Campaign Big Savings,2023-03-11,2023-03-15,334.06
Brand A,Lip,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-02-20,2023-02-23,5928.25
Brand A,Lip,Digital Display,Partner Site / E Retail,New Camp,2023-09-11,2023-09-14,92057
Brand A,Lip,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-04-17,2023-04-18,6684.64
Brand A,Lip,Digital Display,Partner Site / E Retail,New Camp,2023-09-11,2023-09-14,96329
Brand A,Lip,Amazon,AMS,Amazon Campaign Festival,2023-01-11,2023-01-15,632.82
Brand A,Lip,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-05-01,2023-05-06,18154.64
Brand A,Lip,Digital Display,Partner Site / E Retail,Digital Display Campaign Festival,2023-03-01,2023-03-01,7481.23
Brand A,Lip,Amazon,AMS,Amazon Campaign Standards,2023-08-11,2023-08-15,632.82
Brand A,Lip,Amazon,AMS,sdd,2023-10-05,2023-10-06,22
Brand A,Nail,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-06-07,2023-06-09,21481.76
Brand A,Nail,Amazon,AMS,Amazon Campaign Big Savings,2023-02-25,2023-02-28,391.1
Brand A,Nail,Amazon,AMS,Amazon Campaign Festival,2023-08-17,2023-08-18,858.25
Brand A,Nail,Digital Display,Partner Site / E Retail,Digital Displays Campaign Festival,2023-05-01,2023-05-28,22246.96
Brand A,Nail,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-05-08,2023-05-11,10418.96
Brand A,Nail,Amazon,AMS,Amazon Campaign Festivals,2023-06-25,2023-06-28,391.1
Brand B,Nail,Amazon,AMZ,tyewt,2023-10-11,2023-10-18,5
Brand A,Nail,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-01-01,2023-01-01,8321.75
Brand A,Nail,Amazon,AMS,Amazon Campaign Big Savings,2023-04-17,2023-04-18,858.25
Brand A,Nail,Amazon,AMS,Amazon Campaign Big Savings,2023-01-17,2023-01-18,858.25
Brand B,Nail,Amazon,AMZ,Kitrict,2023-09-22,2023-09-28,89
Brand A,Nail,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-04-01,2023-04-02,9161.35
Brand A,Nail,Amazon,AMS,Amazon Campaign Standard,2023-03-17,2023-03-18,296.04
Brand A,Nail,Amazon,AMS,Amazon Campaign Festival,2023-07-17,2023-07-18,296.04
Brand A,Nail,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-04-02,2023-04-04,7903.35
Brand A,Nail,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-05-08,2023-05-09,6409.09
Brand A,Skin care,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-03-03,2023-03-05,30161.53
Brand A,Skin care,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-06-17,2023-06-18,28751.78
Brand A,Skin care,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-06-20,2023-06-23,28113.78
Brand A,Skin care,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-02-03,2023-02-05,22613.35
Brand A,Skin care,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-06-25,2023-06-28,30963.78
